t,semaforoV2_se_—_rojo,semaforoV2_se_—_verde,semaforoV2_se_—_t_restante,boton_pwm_cs_—_salida
0.050,1.0000,0.0000,30.0000,0.0000
0.100,1.0000,0.0000,30.0000,0.0000
0.150,1.0000,0.0000,30.0000,0.0000
0.200,1.0000,0.0000,30.0000,0.0000
0.250,1.0000,0.0000,30.0000,0.0000
0.300,1.0000,0.0000,30.0000,0.0000
0.350,1.0000,0.0000,30.0000,0.0000
0.400,1.0000,0.0000,30.0000,0.0000
0.450,1.0000,0.0000,30.0000,0.0000
0.500,1.0000,0.0000,30.0000,0.0000
0.550,1.0000,0.0000,30.0000,0.0000
0.600,1.0000,0.0000,30.0000,0.0000
0.650,1.0000,0.0000,30.0000,0.0000
0.700,1.0000,0.0000,30.0000,0.0000
0.750,1.0000,0.0000,30.0000,0.0000
0.800,1.0000,0.0000,30.0000,0.0000
0.850,1.0000,0.0000,30.0000,0.0000
0.900,1.0000,0.0000,30.0000,0.0000
0.950,1.0000,0.0000,30.0000,0.0000
1.000,1.0000,0.0000,30.0000,0.0000
1.050,1.0000,0.0000,30.0000,0.0000
1.100,1.0000,0.0000,30.0000,0.0000
1.150,1.0000,0.0000,30.0000,0.0000
1.200,1.0000,0.0000,30.0000,0.0000
1.250,1.0000,0.0000,30.0000,0.0000
1.300,1.0000,0.0000,30.0000,0.0000
1.350,1.0000,0.0000,30.0000,0.0000
1.400,1.0000,0.0000,30.0000,0.0000
1.450,1.0000,0.0000,30.0000,0.0000
1.500,1.0000,0.0000,30.0000,0.0000
1.550,1.0000,0.0000,30.0000,0.0000
1.600,1.0000,0.0000,30.0000,0.0000
1.650,1.0000,0.0000,30.0000,0.0000
1.700,1.0000,0.0000,30.0000,0.0000
1.750,1.0000,0.0000,30.0000,0.0000
1.800,1.0000,0.0000,30.0000,0.0000
1.850,1.0000,0.0000,30.0000,0.0000
1.900,1.0000,0.0000,30.0000,0.0000
1.950,1.0000,0.0000,30.0000,0.0000
2.000,1.0000,0.0000,30.0000,0.0000
2.050,1.0000,0.0000,30.0000,0.0000
2.100,1.0000,0.0000,30.0000,0.0000
2.150,1.0000,0.0000,30.0000,0.0000
2.200,1.0000,0.0000,30.0000,0.0000
2.250,1.0000,0.0000,30.0000,0.0000
2.300,1.0000,0.0000,30.0000,0.0000
2.350,1.0000,0.0000,30.0000,0.0000
2.400,1.0000,0.0000,30.0000,0.0000
2.450,1.0000,0.0000,30.0000,0.0000
2.500,1.0000,0.0000,30.0000,0.0000
2.550,1.0000,0.0000,30.0000,0.0000
2.600,1.0000,0.0000,30.0000,0.0000
2.650,1.0000,0.0000,30.0000,0.0000
2.700,1.0000,0.0000,30.0000,0.0000
2.750,1.0000,0.0000,30.0000,0.0000
2.800,1.0000,0.0000,30.0000,0.0000
2.850,1.0000,0.0000,30.0000,0.0000
2.900,1.0000,0.0000,30.0000,0.0000
2.950,1.0000,0.0000,30.0000,0.0000
3.000,1.0000,0.0000,30.0000,0.0000
3.050,1.0000,0.0000,30.0000,0.0000
3.100,1.0000,0.0000,30.0000,0.0000
3.150,1.0000,0.0000,30.0000,0.0000
3.200,1.0000,0.0000,30.0000,0.0000
3.250,1.0000,0.0000,30.0000,0.0000
3.300,1.0000,0.0000,30.0000,0.0000
3.350,1.0000,0.0000,30.0000,0.0000
3.400,1.0000,0.0000,30.0000,0.0000
3.450,1.0000,0.0000,30.0000,0.0000
3.500,1.0000,0.0000,30.0000,0.0000
3.550,1.0000,0.0000,30.0000,0.0000
3.600,1.0000,0.0000,30.0000,0.0000
3.650,1.0000,0.0000,30.0000,0.0000
3.700,1.0000,0.0000,30.0000,0.0000
3.750,1.0000,0.0000,30.0000,0.0000
3.800,1.0000,0.0000,30.0000,0.0000
3.850,1.0000,0.0000,30.0000,0.0000
3.900,1.0000,0.0000,30.0000,0.0000
3.950,1.0000,0.0000,30.0000,0.0000
4.000,1.0000,0.0000,30.0000,0.0000
4.050,1.0000,0.0000,30.0000,0.0000
4.100,1.0000,0.0000,30.0000,0.0000
4.150,1.0000,0.0000,30.0000,0.0000
4.200,1.0000,0.0000,30.0000,0.0000
4.250,1.0000,0.0000,30.0000,0.0000
4.300,1.0000,0.0000,30.0000,0.0000
4.350,1.0000,0.0000,30.0000,0.0000
4.400,1.0000,0.0000,30.0000,0.0000
4.450,1.0000,0.0000,30.0000,0.0000
4.500,1.0000,0.0000,30.0000,0.0000
4.550,1.0000,0.0000,30.0000,0.0000
4.600,1.0000,0.0000,30.0000,0.0000
4.650,1.0000,0.0000,30.0000,0.0000
4.700,1.0000,0.0000,30.0000,0.0000
4.750,1.0000,0.0000,30.0000,0.0000
4.800,1.0000,0.0000,30.0000,0.0000
4.850,1.0000,0.0000,30.0000,0.0000
4.900,1.0000,0.0000,30.0000,0.0000
4.950,1.0000,0.0000,30.0000,0.0000
5.000,1.0000,0.0000,30.0000,0.0000
5.050,1.0000,0.0000,30.0000,0.0000
5.100,1.0000,0.0000,30.0000,0.0000
5.150,1.0000,0.0000,30.0000,0.0000
5.200,1.0000,0.0000,30.0000,0.0000
5.250,1.0000,0.0000,30.0000,0.0000
5.300,1.0000,0.0000,30.0000,0.0000
5.350,1.0000,0.0000,30.0000,0.0000
5.400,1.0000,0.0000,30.0000,0.0000
5.450,1.0000,0.0000,30.0000,0.0000
5.500,1.0000,0.0000,30.0000,0.0000
5.550,1.0000,0.0000,30.0000,0.0000
5.600,1.0000,0.0000,30.0000,0.0000
5.650,1.0000,0.0000,30.0000,0.0000
5.700,1.0000,0.0000,30.0000,0.0000
5.750,1.0000,0.0000,30.0000,0.0000
5.800,1.0000,0.0000,30.0000,0.0000
5.850,1.0000,0.0000,30.0000,0.0000
5.900,1.0000,0.0000,30.0000,0.0000
5.950,1.0000,0.0000,30.0000,0.0000
6.000,1.0000,0.0000,30.0000,0.0000
